"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
174812017,17481,2017,"SC0040100","SC0040100","","N","N",,"I","ANDERSON","ANDERSON PD","Anderson","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",27728,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",81,17,98,12,19,31,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-APR-17,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174822017,17482,2017,"SC0040200","SC0040200","","N","N",,"I","BELTON","BELTON PD","Belton","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",4426,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",9,0,9,1,2,3,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174832017,17483,2017,"SC0040300","SC0040300","","N","N",,"I","HONEA PATH","HONEA PATH PD","Honea Path","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",3779,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","ABBEVILLE; ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174842017,17484,2017,"SC0040400","SC0040400","","N","N",,"I","PENDLETON","PENDLETON PD","Pendleton","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",3213,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-SEP-17,,01-SEP-17,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174852017,17485,2017,"SC0040500","SC0040500","","N","N",,"I","WILLIAMSTON","WILLIAMSTON PD","Williamston","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",4229,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-APR-17,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174862017,17486,2017,"SC0040600","SC0040600","","N","N",,"I","IVA","IVA PD","Iva","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",1296,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",10,0,10,0,0,0,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174902017,17490,2017,"SC0041000","SC0041000","","N","N",,"I","WEST PELZER","WEST PELZER PD","West Pelzer","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",934,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,1,0,1,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174912017,17491,2017,"SC0042600","SC0042600","","N","N",,"I","STP: ANDERSON COUNTY","STATE TRANSPORT POLICE","State Transport Police:","Anderson County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",6,0,6,0,0,0,0,0,01-JAN-90,01-JAN-03,01-JAN-07,01-JUN-11,,01-DEC-15,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174932017,17493,2017,"SC004FC00","SC004FC00","","N","N",,"I","FC: ANDERSON COUNTY","FC: ANDERSON COUNTY","Forestry Commission:","Anderson County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",1,0,1,0,0,0,0,0,01-JAN-90,01-JAN-04,01-OCT-08,01-APR-12,,,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174942017,17494,2017,"SC004NR00","SC004NR00","","N","N",,"I","DNR: ANDERSON COUNTY","DNR: ANDERSON COUNTY","Department of Natural Resources:","Anderson County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",23,"9E","MSA State Police","9","MSA Counties","N",3,"R","Y",6,0,6,0,0,0,0,0,01-JAN-90,01-JAN-99,01-AUG-07,,,,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
174952017,17495,2017,"SC004SP00","SC004SP00","","N","N",,"I","HP: ANDERSON COUNTY","HP: ANDERSON COUNTY","Highway Patrol:","Anderson County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","State Police",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
